2019/11/19 11:43:27 [xorm] [info]  2019/11/19 11:43:27.827649 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/19 11:48:51 [xorm] [info]  2019/11/19 11:48:51.413149 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:51 [xorm] [info]  2019/11/19 11:48:51.414072 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"103.245.182.21:8080", "http", "", 3897}
2019/11/19 11:48:51 [xorm] [info]  2019/11/19 11:48:51.416116 [SQL] COMMIT
2019/11/19 11:48:52 [xorm] [info]  2019/11/19 11:48:52.305208 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"173.242.102.241:57095", "http", 4938, 1}
2019/11/19 11:48:52 [xorm] [info]  2019/11/19 11:48:52.785999 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"115.124.79.93:8080", "http", 5271, 1}
2019/11/19 11:48:52 [xorm] [info]  2019/11/19 11:48:52.791373 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:52 [xorm] [info]  2019/11/19 11:48:52.792561 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"115.124.79.93:8080", "http", "", 5271}
2019/11/19 11:48:52 [xorm] [info]  2019/11/19 11:48:52.795516 [SQL] COMMIT
2019/11/19 11:48:55 [xorm] [info]  2019/11/19 11:48:55.161854 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"181.114.224.30:8080", "http", 7644, 1}
2019/11/19 11:48:55 [xorm] [info]  2019/11/19 11:48:55.168333 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:55 [xorm] [info]  2019/11/19 11:48:55.169649 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"181.114.224.30:8080", "http", "", 7644}
2019/11/19 11:48:55 [xorm] [info]  2019/11/19 11:48:55.171980 [SQL] COMMIT
2019/11/19 11:48:55 [xorm] [info]  2019/11/19 11:48:55.665879 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"85.222.191.222:36337", "http", 8153, 1}
2019/11/19 11:48:55 [xorm] [info]  2019/11/19 11:48:55.672912 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:55 [xorm] [info]  2019/11/19 11:48:55.674931 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"85.222.191.222:36337", "http", "", 8153}
2019/11/19 11:48:55 [xorm] [info]  2019/11/19 11:48:55.677047 [SQL] COMMIT
2019/11/19 11:48:56 [xorm] [info]  2019/11/19 11:48:56.077312 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"103.111.28.170:8080", "http", 8513, 1}
2019/11/19 11:48:56 [xorm] [info]  2019/11/19 11:48:56.084012 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:56 [xorm] [info]  2019/11/19 11:48:56.085365 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"103.111.28.170:8080", "http", "", 8513}
2019/11/19 11:48:56 [xorm] [info]  2019/11/19 11:48:56.088056 [SQL] COMMIT
2019/11/19 11:48:56 [xorm] [info]  2019/11/19 11:48:56.430350 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"103.205.15.97:8080", "http", 5580, 1}
2019/11/19 11:48:56 [xorm] [info]  2019/11/19 11:48:56.436758 [SQL] BEGIN TRANSACTION
2019/11/19 11:48:56 [xorm] [info]  2019/11/19 11:48:56.438057 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"103.205.15.97:8080", "http", "", 5580}
2019/11/19 11:48:56 [xorm] [info]  2019/11/19 11:48:56.440475 [SQL] COMMIT
2019/11/19 11:48:57 [xorm] [info]  2019/11/19 11:48:57.383322 [SQL] SELECT `id`, `data`, `type1`, `type2`, `speed` FROM `ip` ORDER BY `speed` ASC LIMIT 50
2019/11/19 11:49:00 [xorm] [info]  2019/11/19 11:49:00.695248 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"42.159.91.248:8081", "http", 674, 1}
2019/11/19 11:49:00 [xorm] [info]  2019/11/19 11:49:00.702592 [SQL] BEGIN TRANSACTION
2019/11/19 11:49:00 [xorm] [info]  2019/11/19 11:49:00.704351 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"42.159.91.248:8081", "http", "", 674}
